       t                    x1                   y1                  x2               y2                 E         I      
           0.14700000E+02          -0.90129126E+02          -0.46945755E+01           0.79938317E+02           0.63093786E+01           0.37897445E+02           0.93557968E+00
           0.14800000E+02          -0.90781585E+02          -0.47353992E+01           0.80512478E+02           0.63481557E+01           0.37897445E+02           0.93557968E+00
           0.14900000E+02          -0.91434044E+02          -0.47762228E+01           0.81086637E+02           0.63869327E+01           0.37897445E+02           0.93557968E+00
           0.15000000E+02          -0.92086500E+02          -0.48170463E+01           0.81660795E+02           0.64257095E+01           0.37897445E+02           0.93557968E+00
           0.15100000E+02          -0.92738956E+02          -0.48578698E+01           0.82234951E+02           0.64644862E+01           0.37897445E+02           0.93557968E+00
           0.15200000E+02          -0.93391410E+02          -0.48986931E+01           0.82809104E+02           0.65032627E+01           0.37897445E+02           0.93557968E+00
           0.15300000E+02          -0.94043862E+02          -0.49395164E+01           0.83383257E+02           0.65420391E+01           0.37897445E+02           0.93557968E+00
           0.15400000E+02          -0.94696313E+02          -0.49803396E+01           0.83957407E+02           0.65808154E+01           0.37897445E+02           0.93557968E+00
           0.15500000E+02          -0.95348762E+02          -0.50211628E+01           0.84531556E+02           0.66195915E+01           0.37897445E+02           0.93557968E+00
           0.15600000E+02          -0.96001210E+02          -0.50619858E+01           0.85105703E+02           0.66583675E+01           0.37897445E+02           0.93557968E+00
           0.15700000E+02          -0.96653657E+02          -0.51028088E+01           0.85679848E+02           0.66971434E+01           0.37897445E+02           0.93557968E+00
           0.15800000E+02          -0.97306102E+02          -0.51436317E+01           0.86253992E+02           0.67359192E+01           0.37897445E+02           0.93557968E+00
           0.15900000E+02          -0.97958546E+02          -0.51844545E+01           0.86828134E+02           0.67746948E+01           0.37897445E+02           0.93557968E+00
           0.16000000E+02          -0.98610989E+02          -0.52252773E+01           0.87402274E+02           0.68134703E+01           0.37897445E+02           0.93557968E+00
           0.16100000E+02          -0.99263430E+02          -0.52660999E+01           0.87976413E+02           0.68522457E+01           0.37897445E+02           0.93557968E+00
           0.16200000E+02          -0.99915870E+02          -0.53069226E+01           0.88550550E+02           0.68910210E+01           0.37897445E+02           0.93557968E+00
           0.16300000E+02          -0.10056831E+03          -0.53477451E+01           0.89124686E+02           0.69297962E+01           0.37897445E+02           0.93557968E+00
           0.16400000E+02          -0.10122075E+03          -0.53885676E+01           0.89698820E+02           0.69685712E+01           0.37897445E+02           0.93557968E+00
           0.16500000E+02          -0.10187318E+03          -0.54293900E+01           0.90272953E+02           0.70073462E+01           0.37897445E+02           0.93557968E+00
           0.16600000E+02          -0.10252562E+03          -0.54702123E+01           0.90847084E+02           0.70461210E+01           0.37897445E+02           0.93557968E+00
           0.16700000E+02          -0.10317805E+03          -0.55110345E+01           0.91421214E+02           0.70848957E+01           0.37897445E+02           0.93557968E+00
           0.16800000E+02          -0.10383048E+03          -0.55518567E+01           0.91995342E+02           0.71236703E+01           0.37897445E+02           0.93557968E+00
           0.16900000E+02          -0.10448292E+03          -0.55926789E+01           0.92569469E+02           0.71624448E+01           0.37897445E+02           0.93557968E+00
           0.17000000E+02          -0.10513535E+03          -0.56335009E+01           0.93143594E+02           0.72012192E+01           0.37897445E+02           0.93557968E+00
           0.17100000E+02          -0.10578777E+03          -0.56743229E+01           0.93717718E+02           0.72399935E+01           0.37897445E+02           0.93557968E+00
           0.17200000E+02          -0.10644020E+03          -0.57151449E+01           0.94291841E+02           0.72787676E+01           0.37897445E+02           0.93557968E+00
           0.17300000E+02          -0.10709263E+03          -0.57559667E+01           0.94865962E+02           0.73175417E+01           0.37897445E+02           0.93557968E+00
           0.17400000E+02          -0.10774506E+03          -0.57967885E+01           0.95440082E+02           0.73563157E+01           0.37897445E+02           0.93557968E+00
           0.17500000E+02          -0.10839748E+03          -0.58376103E+01           0.96014201E+02           0.73950896E+01           0.37897445E+02           0.93557968E+00
           0.17600000E+02          -0.10904990E+03          -0.58784320E+01           0.96588318E+02           0.74338634E+01           0.37897445E+02           0.93557968E+00
           0.17700000E+02          -0.10970233E+03          -0.59192536E+01           0.97162434E+02           0.74726371E+01           0.37897445E+02           0.93557968E+00
           0.17800000E+02          -0.11035475E+03          -0.59600752E+01           0.97736549E+02           0.75114106E+01           0.37897445E+02           0.93557968E+00
           0.17900000E+02          -0.11100717E+03          -0.60008967E+01           0.98310662E+02           0.75501841E+01           0.37897445E+02           0.93557968E+00
           0.18000000E+02          -0.11165959E+03          -0.60417181E+01           0.98884775E+02           0.75889575E+01           0.37897445E+02           0.93557968E+00
           0.18100000E+02          -0.11231201E+03          -0.60825395E+01           0.99458886E+02           0.76277308E+01           0.37897445E+02           0.93557968E+00
           0.18200000E+02          -0.11296442E+03          -0.61233608E+01           0.10003300E+03           0.76665041E+01           0.37897445E+02           0.93557968E+00
           0.18300000E+02          -0.11361684E+03          -0.61641821E+01           0.10060710E+03           0.77052772E+01           0.37897445E+02           0.93557968E+00
           0.18400000E+02          -0.11426925E+03          -0.62050033E+01           0.10118121E+03           0.77440502E+01           0.37897445E+02           0.93557968E+00
           0.18500000E+02          -0.11492167E+03          -0.62458245E+01           0.10175532E+03           0.77828232E+01           0.37897445E+02           0.93557968E+00
           0.18600000E+02          -0.11557408E+03          -0.62866456E+01           0.10232942E+03           0.78215960E+01           0.37897445E+02           0.93557968E+00
           0.18700000E+02          -0.11622649E+03          -0.63274667E+01           0.10290353E+03           0.78603688E+01           0.37897445E+02           0.93557968E+00
           0.18800000E+02          -0.11687891E+03          -0.63682877E+01           0.10347763E+03           0.78991415E+01           0.37897445E+02           0.93557968E+00
